Critical,Express Air,200,8.7105
Critical,Delivery Truck,228,47.2974561403509
Critical,Regular Air,1180,7.27691525423726
High,Express Air,212,6.85627358490567
High,Delivery Truck,248,45.1890322580646
High,Regular Air,1308,7.64909021406723
Low,Express Air,190,8.16647368421053
Low,Delivery Truck,250,44.52644
Low,Regular Air,1280,8.01845312499995
Medium,Express Air,201,8.12731343283582
Medium,Delivery Truck,205,46.154243902439
Medium,Regular Air,1225,7.68875102040812
Not Specified,Express Air,180,8.167
Not Specified,Delivery Truck,215,43.6651627906977
Not Specified,Regular Air,1277,7.62261550509002
